111	246	161	275
111	282	208	308
121	417	168	444
122	454	166	474
123	514	166	544
124	490	202	510
124	555	178	579
125	619	167	643
125	654	216	681
125	684	159	710
126	716	193	750
127	782	249	817
128	757	145	776
130	819	174	846
154	378	191	409
154	753	287	785
155	576	269	611
163	688	290	713
172	243	352	274
179	453	204	474
179	523	210	545
180	619	246	647
187	815	268	847
193	415	300	444
200	551	344	580
202	278	379	307
204	378	295	409
215	481	352	516
216	717	260	745
217	106	505	139
219	448	369	483
225	512	288	549
234	650	280	680
248	790	295	812
253	327	510	364
257	615	300	647
265	715	354	749
273	580	288	596
287	807	327	843
300	579	322	610
300	645	410	676
303	517	368	548
305	684	441	715
312	419	354	441
315	748	466	779
320	377	348	405
320	609	451	644
323	577	452	607
338	783	383	812
340	819	387	843
351	554	402	573
352	243	425	272
365	710	426	744
366	474	463	507
374	376	505	405
380	512	425	539
383	275	628	303
387	416	484	444
389	448	432	469
402	820	526	850
408	786	481	811
433	730	448	743
434	240	579	270
439	510	536	546
442	650	569	676
443	448	522	471
443	695	460	711
463	720	505	741
473	678	586	712
476	607	529	641
478	581	643	609
479	484	515	506
485	743	527	772
506	406	623	436
510	776	646	811
520	717	645	743
523	373	640	402
526	819	583	870
530	480	565	502
533	448	635	476
540	518	584	537
541	746	583	777
546	614	577	637
572	661	587	675
578	469	629	504
587	517	641	544
589	617	636	641
590	817	637	841
594	742	637	773
600	678	643	709
602	649	644	671
627	424	642	438
627	490	643	505
